window_end,pvalue,beta,is_cointegrated
2018-12-19,0.01426819364893779,0.996949673090046,True
2018-12-26,0.008795516070808713,0.9970102125489191,True
2019-01-02,0.11830299201922528,0.9976760213302531,False
2019-01-09,0.0026154576466086436,0.9974246462636915,True
2019-01-16,0.005417685450652195,0.9972855252645699,True
2019-01-23,0.0051755638695549664,0.9971774763413443,True
2019-01-30,0.005281127649294512,0.9971222245396651,True
2019-02-06,0.003867589303478883,0.9971554973891305,True
2019-02-13,0.0038317066345565807,0.9971948399760109,True
2019-02-20,0.003446284273303297,0.9972496465351572,True
2019-02-27,0.003359832890220787,0.9972483977196869,True
2019-03-06,0.03294671487811134,0.9972396032737048,True
2019-03-13,0.001318508768645376,0.9972693344019523,True
2019-03-20,0.008051966273427382,0.9970440299415297,True
2019-03-27,0.008964681214966842,0.9970713587771768,True
2019-04-03,0.0075437767800872945,0.9969884298981952,True
2019-04-10,0.006999781754217182,0.9971331745405049,True
2019-04-17,0.005095014848042989,0.9972315053758887,True
2019-04-24,0.0018312372447165392,0.9973700180899258,True
2019-05-01,0.0026374063897824686,0.9975959381037897,True
2019-05-08,0.001791538492910928,0.9976266965952701,True
2019-05-15,0.0011520605034477755,0.9976851979412031,True
2019-05-22,0.0011098489000237737,0.9976985903098019,True
2019-05-29,0.000915891456594387,0.9976819717263006,True
2019-06-05,0.0004577172548426507,0.9977167401000624,True
2019-06-12,0.00030299404829662533,0.9977298363029157,True
2019-06-19,0.0002904089869206025,0.9977945261357449,True
2019-06-26,3.66628690480863e-05,0.997924550596438,True
2019-07-03,0.0001973955846988296,0.9977646901766308,True
2019-07-10,0.00019730769684789837,0.9976309481998935,True
2019-07-17,6.467337239455638e-05,0.9975995801730423,True
2019-07-24,2.5881519884202032e-05,0.997520930217397,True
2019-07-31,4.2283228933417486e-05,0.9973978877369034,True
2019-08-07,2.595512148678645e-05,0.9973255657909049,True
2019-08-14,2.9509565719514926e-05,0.9972134245034289,True
2019-08-21,7.696463228198132e-05,0.9970880701155656,True
2019-08-28,6.681578789381081e-05,0.9970725767073052,True
2019-09-04,0.00010268943909125614,0.9969559278731149,True
2019-09-11,0.00013263358319866487,0.996772825282171,True
2019-09-18,0.00031815048172292214,0.9966206146029466,True
2019-09-25,0.0002671651185074143,0.996670292071465,True
2019-10-02,0.13481102576009207,0.9965815652980679,False
2019-10-09,0.15711295405410836,0.9964941609208421,False
2019-10-16,0.18826721149932407,0.9965306076398596,False
2019-10-23,0.2290492992697118,0.9963898950291494,False
2019-10-30,0.1804143844715192,0.9963146435509704,False
2019-11-06,0.07902027829619251,0.9962346149516104,False
2019-11-13,0.008554140646620037,0.9960793862644953,True
2019-11-20,0.04802595061113059,0.9960074707988498,True
2019-11-27,0.15003630765432785,0.9958460529514412,False
2019-12-04,0.11051325954888269,0.9958627333437049,False
2019-12-11,1.6608124805714626e-05,0.995648461946314,True
2019-12-18,4.585417543744256e-05,0.9953576914378842,True
2019-12-25,5.316524158666952e-05,0.9950238059088024,True
2020-01-01,3.715641691159387e-05,0.994998939342519,True
2020-01-08,3.336605479964086e-05,0.9949523890284753,True
2020-01-15,3.129684948797909e-05,0.994944920254017,True
2020-01-22,3.770042840764934e-05,0.9948991567283568,True
2020-01-29,3.548828336282815e-05,0.9948897704720632,True
2020-02-05,2.3713796471405283e-05,0.9948783248294953,True
2020-02-12,3.562389428311847e-05,0.9948144163167143,True
2020-02-19,2.4486880907536737e-05,0.9949581714379676,True
2020-02-26,3.1028340111247076e-05,0.9949107097427106,True
2020-03-04,1.3979022007062602e-07,0.9947240269664971,True
2020-03-11,7.230760123942868e-06,0.9946429024884761,True
2020-03-18,0.18885519448834298,0.9960592802313116,False
2020-03-25,0.0787343058877557,0.9967287657697557,False
2020-04-01,4.9014617274705893e-08,0.9966711742205977,True
2020-04-08,0.0031946388099380442,0.9966805653093521,True
2020-04-15,0.003705093612852675,0.9966391941189578,True
2020-04-22,0.004781840045376892,0.9966039702571721,True
2020-04-29,0.007038037687777958,0.996604943648947,True
2020-05-06,0.012685048049362753,0.996579296650757,True
2020-05-13,0.01616532567374825,0.9965591610612011,True
2020-05-20,0.013805522659668609,0.9965531103033953,True
2020-05-27,0.0219125926119425,0.9965928366870433,True
2020-06-03,0.023811261999262357,0.9966375731394499,True
2020-06-10,0.03967651366689567,0.9967903436552941,True
2020-06-17,0.04626153832761396,0.9968378511647559,True
2020-06-24,0.04416292321224576,0.9968812200752132,True
2020-07-01,0.041695932149363055,0.9968825728045925,True
2020-07-08,0.054551088255560314,0.9969564572407426,False
2020-07-15,0.049522354957975086,0.9969806324137332,True
2020-07-22,0.057028050216205696,0.9970215714642485,False
2020-07-29,0.05431331078036947,0.9970876125837109,False
2020-08-05,0.061748503709272935,0.9971352709981882,False
2020-08-12,0.060900407545542455,0.9971837728684694,False
2020-08-19,0.06759693447283616,0.9972273794956616,False
2020-08-26,0.07275520273972026,0.9972910348776318,False
2020-09-02,0.0725569427769949,0.9973252045624703,False
2020-09-09,0.07255983436534938,0.9973518416031464,False
2020-09-16,0.07496725920329819,0.9973967240531012,False
2020-09-23,0.0721611705475524,0.9973854228351539,False
2020-09-30,0.07479641598763687,0.9973969492719466,False
2020-10-07,0.07711433550405798,0.9974416404879756,False
2020-10-14,0.08122072912952738,0.9974834876392698,False
2020-10-21,0.08524031228463069,0.997534665125765,False
2020-10-28,0.08341349846474566,0.9975402506054172,False
2020-11-04,0.08469093078524748,0.9975513747572076,False
2020-11-11,0.08520910519383018,0.9975693256939864,False
2020-11-18,0.0764039374939033,0.9976127756855437,False
2020-11-25,0.07384090348081686,0.9976370659743746,False
