Date,alpha,beta,spread,spread_std,zscore
2018-01-02,4.098181213433169,0.560337255150135,-0.3245275375059933,31.677680691323562,-0.01024467481278958
2018-01-03,4.105067902209354,0.5619157430905501,0.07368563817520624,0.4290235316411575,0.17175197335524744
2018-01-04,4.104556946643044,0.5627383306287994,0.03369640289360376,0.4200958008822783,0.08021123472987621
2018-01-05,4.109876635964649,0.5653187126196938,0.11469074646724309,0.41638233081256887,0.2754457573726158
2018-01-08,4.1170553138914086,0.5667771709198242,0.0699575935852117,0.4123489175110136,0.16965630468362553
2018-01-09,4.129024328945716,0.5683664037562174,0.08119306006606664,0.4075378275588906,0.19922827913277316
2018-01-10,4.1309841400870795,0.5668392247452123,-0.06001004225991835,0.4117697586840109,-0.14573688570939863
2018-01-11,4.1331962993251725,0.5658104769266747,-0.039437447833741146,0.413736272139861,-0.09532025710428782
2018-01-12,4.121425002189044,0.5678077790018515,0.06783506177343668,0.42310937007609617,0.16032512293744888
2018-01-15,4.120708575466591,0.5682291873070394,0.016732448600912164,0.42027293326482035,0.03981329102240518
2018-01-16,4.119445181736349,0.568545143125347,0.011707579623450926,0.42624292627468946,0.027466918280084376
2018-01-17,4.114424427578387,0.5670711806254267,-0.0686741777673241,0.41923533530978524,-0.1638081811891613
2018-01-18,4.116634663393919,0.567418335945898,0.01740063424725946,0.41467042507569235,0.04196256399062753
2018-01-19,4.116366993761346,0.5669409492976123,-0.02021215033261825,0.4163468009934044,-0.04854642880500586
2018-01-22,4.116455966887206,0.5667862957968914,-0.006323774347322342,0.4172114251587359,-0.015157241547055772
2018-01-23,4.108683296969874,0.5691869304716954,0.09041300861055745,0.42198665165401306,0.21425561272181448
2018-01-24,4.093620085570496,0.5724053074446189,0.11672182626570304,0.4278794450744345,0.2727913846046004
2018-01-25,4.130173980534426,0.5766520737016658,0.22642105931672774,0.41595219513265125,0.5443439461703522
2018-01-26,4.129957618635793,0.5795073523372796,0.11921363813462449,0.41936352677915406,0.2842727860723209
2018-01-29,4.1406681168294694,0.5804357758833044,0.052653021684527346,0.409543530030836,0.12856514100116026
2018-01-30,4.145743494576963,0.5812070521241631,0.038322105806496864,0.4066753100503492,0.0942326835670263
2018-01-31,4.146223138366929,0.5809969585255624,-0.007966023070927974,0.41217740421236043,-0.019326685523070913
2018-02-01,4.1463683347564215,0.5804625719999411,-0.021738037974003532,0.41066899695162956,-0.05293323366351888
2018-02-02,4.139428096069469,0.5799740180523651,-0.029185055420807515,0.4005691579079696,-0.07285896790764095
2018-02-05,4.127657768778667,0.5744393395456024,-0.23842133074141003,0.4018779379757042,-0.5932680254665385
2018-02-06,4.098234755238306,0.5713082883633447,-0.16500385722487465,0.39502675800166787,-0.4177029881711911
2018-02-07,4.078215428061396,0.5670154698877641,-0.19707472810446802,0.39353669471405145,-0.5007785315869081
2018-02-08,4.075323329524386,0.5618629739899936,-0.20707798800584243,0.3945309757724264,-0.5248713047192758
2018-02-09,4.1180619653472466,0.5678966645361855,0.2956038905462819,0.3887852417094373,0.7603269333129794
2018-02-12,4.14891164884123,0.561996143771365,-0.19011518814703976,0.39989442267827613,-0.47541345256518275
2018-02-13,4.164997521109901,0.5572461547635283,-0.1667668499152981,0.39995504395504955,-0.41696398741764795
2018-02-14,4.127079511890764,0.5618839226671613,0.13689076603317574,0.4153441883345332,0.3295839207046253
2018-02-15,4.130080375552762,0.5609562169908623,-0.03391476513396441,0.41081395892940714,-0.08255504565216637
2018-02-16,4.14193721299782,0.5624525346510907,0.07667053902683207,0.4016525123032239,0.19088773673336407
2018-02-19,4.142834111022778,0.562943265571172,0.02098640753579417,0.4026521802243981,0.05212043685966992
2018-02-20,4.121699476314081,0.5606727368831532,-0.11949271265278227,0.3956038344483769,-0.30205145210334183
2018-02-21,4.1168203774122105,0.5587775529847664,-0.08180374150350289,0.395841716768283,-0.20665770695257216
2018-02-22,4.115411702748253,0.5569813025799386,-0.07302984430010184,0.39586532186832274,-0.18448154022542512
2018-02-23,4.114567702324053,0.5573573067703753,0.013781717265565874,0.39936088355090854,0.03450943202805953
2018-02-26,4.124282482676264,0.5549088938452715,-0.08486012780505447,0.40408828195512825,-0.21000393130548073
2018-02-27,4.09891868096534,0.5512455893663321,-0.18059139642675603,0.3946695223182452,-0.4575762409166588
2018-02-28,4.091628570460188,0.5487161012065925,-0.11002130507373664,0.39449808909591033,-0.278889323205285
2018-03-01,4.097608862030165,0.546452297036477,-0.08164948010909967,0.39953068698815114,-0.20436347636926608
2018-03-02,4.097452522987297,0.5460257975140399,-0.017155574326650935,0.3969926450503517,-0.043213834161776585
2018-03-05,4.096296600091382,0.5486459085613044,0.10252506160041719,0.3979352863487183,0.2576425492223691
2018-03-06,4.089201107971189,0.5505617657020453,0.06699776517049827,0.4035413695971872,0.16602452739201204
2018-03-07,4.086847938824138,0.5500622395989941,-0.02312297181190459,0.3958348267319378,-0.0584157083973908
2018-03-08,4.087039272051791,0.5504903609573688,0.017269314478657094,0.3976059514931602,0.04343323940148358
2018-03-09,4.086481214984776,0.549408471439821,-0.04372208093936081,0.3970717068974828,-0.11011129773255064
