window_end,pvalue,beta,is_cointegrated
2018-12-19,2.2789723756694092e-23,1.0930653410830364,True
2018-12-26,0.0001279529196409729,1.092115633970114,True
2019-01-02,6.3962773100615195e-24,1.0922189230642656,True
2019-01-09,7.76661659847328e-25,1.0924888293029065,True
2019-01-16,5.724449153816352e-06,1.0924932250444122,True
2019-01-23,7.421246393159219e-06,1.0924035815913458,True
2019-01-30,1.2440419564440241e-05,1.0926173146070592,True
2019-02-06,1.139558591471844e-05,1.092581312029337,True
2019-02-13,1.6821786539198793e-05,1.0925936478611824,True
2019-02-20,1.951237849308752e-05,1.092567207579988,True
2019-02-27,2.2663605078427707e-05,1.0924843711934542,True
2019-03-06,8.773950495018659e-06,1.0924989831345941,True
2019-03-13,6.3048759426378266e-06,1.0925269156993431,True
2019-03-20,1.2852738304114942e-05,1.0924329412962839,True
2019-03-27,2.3267753071026443e-05,1.0924928764017117,True
2019-04-03,2.5212571629003828e-05,1.0924317450520686,True
2019-04-10,3.752373811053145e-05,1.092239967396378,True
2019-04-17,4.6869145651475406e-05,1.092144354957989,True
2019-04-24,2.8523662730821134e-05,1.0920973331728223,True
2019-05-01,6.342128821690928e-05,1.0919085730742757,True
2019-05-08,0.00010204507269086574,1.0916989263719896,True
2019-05-15,6.608313824077531e-05,1.0916402855650857,True
2019-05-22,6.776490108839697e-05,1.0916838077278368,True
2019-05-29,8.181753935870664e-05,1.0916361941776052,True
2019-06-05,0.00011880701302533971,1.0915979477819353,True
2019-06-12,7.782393061377501e-05,1.0916214702868121,True
2019-06-19,0.0001303389005280194,1.0914394758403576,True
2019-06-26,0.00017632676448563642,1.0912480041129187,True
2019-07-03,0.4749437018750208,1.0913538083760659,False
2019-07-10,6.629116454016262e-05,1.0914824375462628,True
2019-07-17,3.2820952912031794e-05,1.0914913568659501,True
2019-07-24,7.407249985154116e-05,1.091505922320314,True
2019-07-31,4.582277808896716e-05,1.0915547202963873,True
2019-08-07,3.324581388705419e-05,1.091483586450206,True
2019-08-14,1.7346211284940203e-05,1.0915605093283158,True
2019-08-21,3.5722063879869965e-06,1.0915486347407435,True
2019-08-28,2.0900925779568306e-06,1.0914940373973614,True
2019-09-04,9.763418937669929e-07,1.0914961077623655,True
2019-09-11,1.169401056687477e-06,1.0915085830261835,True
2019-09-18,2.224250201187347e-07,1.0914834103262443,True
2019-09-25,1.0676362297217474e-08,1.091417864993823,True
2019-10-02,7.673575291061671e-08,1.0913731359796008,True
2019-10-09,2.5348218472850096e-07,1.0913550302061834,True
2019-10-16,1.446574631403453e-06,1.0911974232300201,True
2019-10-23,1.8481424787308017e-06,1.0911596739188358,True
2019-10-30,5.0234555029516474e-06,1.0911036236028928,True
2019-11-06,3.5287443327056166e-06,1.0911685249025693,True
2019-11-13,6.8046612939199866e-06,1.0910791188467313,True
2019-11-20,2.623697857274687e-06,1.0911333633466702,True
